Sample,LabID,Sample.ID,Genetic.Sex,Individual.ID,Pod,Region,MiSeq.run,Population,year,month,day,latitudeN,longitudeW,dom.sp,prey50
52357-22_S25,52357-22,NGOS_2020_45,Female,ARKW_41,ARKW,Kenai Fjord,2021P1,ARKW,2020,9,16,59.947,149.402,NA,None
51530-042_S60,51530-042,NGOS_2018_14,Male,ARKW_22,ARKW,Kenai Fjord,2019,ARKW,2018,5,29,59.842,149.433,chum,chum
51530-047_S28,51530-047,NGOS_2018_19,Male,ARKW_22,ARKW,Kenai Fjord,2019,ARKW,2018,6,5,59.825,149.437,chum,chum
52358-26_S58,52358-26,NGOS_2021_42,Female,ARKW_14,ARKW,Kenai Fjord,2021P1,ARKW,2021,6,8,59.753,149.45,chinook,chinook
52358-2_S39,52358-02,NGOS_2021_41a,Undetermined,ARKW_56,ARKW,Kenai Fjord,2021P1,ARKW,2021,6,8,59.753,149.455,chinook,chinook
52358-3_S40,52358-03,NGOS_2021_41b,Undetermined,ARKW_56,ARKW,Kenai Fjord,2021P1,ARKW,2021,6,8,59.753,149.455,chinook,chinook
51530-041_S49,51530-041,NGOS_2018_13,Male,ARKW_24,ARKW,Kenai Fjord,2019,ARKW,2018,5,29,59.846,149.46,chum,chum
52358-8_S45,52358-08,NGOS_2021_40a,Female,ARKW_07,ARKW,Kenai Fjord,2021P1,ARKW,2021,6,8,59.765,149.463,chinook,chinook
52358-9_S46,52358-09,NGOS_2021_40b,Undetermined,ARKW_07,ARKW,Kenai Fjord,2021P1,ARKW,2021,6,8,59.765,149.463,chinook,chinook
52358-4_S41,52358-04,NGOS_2021_38,Female,ARKW_52,ARKW,Kenai Fjord,2021P1,ARKW,2021,6,8,59.775,149.467,chinook,chinook
52358-5_S42,52358-05,NGOS_2021_39,Female,ARKW_62,ARKW,Kenai Fjord,2021P1,ARKW,2021,6,8,59.775,149.468,chinook,chinook
51530-040_S38,51530-040,NGOS_2018_12,Female,ARKW_01,ARKW,Kenai Fjord,2019,ARKW,2018,5,29,59.85,149.478,chum,chum
52357-18_S23,52357-18,NGOS_2020_16,Female,ARKW_01,ARKW,Kenai Fjord,2021P1,ARKW,2020,6,9,59.804,149.48,chinook,chinook
51530-035_S69,51530-035,NGOS_2018_07,Male,ARKW_23,ARKW,Kenai Fjord,2019,ARKW,2018,5,27,59.796,149.489,chum,chum
52357-29_S29,52357-29,NGOS_2020_19,Female,ARKW_62,ARKW,Kenai Fjord,2021P1,ARKW,2020,6,11,59.783,149.508,chum,chum
NGOS-2016-3_S64,51530-004,NGOS-2016-3,Male,ARKW_03,ARKW,Kenai Fjord,2018,ARKW,2016,6,6,59.76,149.51,chum,chum
52332-16_S11,52332-16,NGOS_2019_20,Female,ARKW_20,ARKW,Kenai Fjord,2021P1,ARKW,2019,6,3,59.795,149.512,chinook,chinook
52357-26_S28,52357-26,NGOS_2020_07,Male,ARKW_40,ARKW,Kenai Fjord,2021P1,ARKW,2020,5,27,59.788,149.517,chinook,chinook
51530-049_S39,51530-049,NGOS_2018_21,Undetermined,ARKW_01,ARKW,Kenai Fjord,2019,ARKW,2018,6,6,59.737,149.519,chum,chum
51530-039_S27,51530-039,NGOS_2018_11,Male,ARKW_24,ARKW,Kenai Fjord,2019,ARKW,2018,5,29,59.853,149.521,chum,chum
NGOS-2017-KF3_S5,51530-013,NGOS-2017-KF3,Undetermined,ARKW_08,ARKW,Kenai Fjord,2018,ARKW,2017,6,1,59.705,149.523,chinook,chinook
52332-25_S15,52332-25,NGOS_2019_09,Female,ARKW_58,ARKW,Kenai Fjord,2021P1,ARKW,2019,5,26,59.767,149.528,chinook,chinook
NGOS-2017-KF4_S14,51530-014,NGOS-2017-KF4,Undetermined,ARKW_09,ARKW,Kenai Fjord,2018,ARKW,2017,6,1,59.702,149.529,chinook,chinook
52358-16_S50,52358-16,NGOS_2021_17,Female,ARKW_52,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,25,59.778,149.532,chinook,chinook
52358-16-dup_S15,52358-16,NGOS_2021_17,Female,ARKW_52,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,25,59.778,149.532,chinook,chinook
52358-37_S66,52358-37,NGOS_2021_36,Male,ARKW_54,ARKW,Kenai Fjord,2021P1,ARKW,2021,6,8,59.735,149.532,chinook,chinook
52358-13_S49,52358-13,NGOS_2021_29,Female,FAIL,ARKW,Kenai Fjord,2021P1,ARKW,2021,6,4,59.782,149.533,chinook,chinook
52358-19_S53,52358-19,NGOS_2021_24,Male,ARKW_24,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,28,59.778,149.533,chinook,chinook
51530-029_S14,51530-029,NGOS_2018_03,Female,ARKW_20,ARKW,Kenai Fjord,2019,ARKW,2018,5,24,59.78,149.534,chinook,chinook
52358-22_S55,52358-22,NGOS_2021_23,Female,ARKW_23,ARKW,Kenai Fjord,2021P1,ARKW,2021,5,27,59.762,149.535,chinook,chinook
52358-34_S64,52358-34,NGOS_2021_30b,Female,FAIL,ARKW,Kenai Fjord,2021P1,ARKW,2021,6,4,59.787,149.535,chinook,chinook
